Category,Subcategory,Category Source,Example,Ambiguous Token,Underspecification,Proper Representation,Representation Source,Source,Literature Notes,Reviewed By,Notes
Spatial,Depth/Layering,,A forest with trees in the foreground,in the foreground,"Depth position, overlap handling, atmospheric perspective","Layer panel with depth ordering + grayscale depth map painter, visual layer stack (like Photoshop layers) showing foreground-to-background ordering","Evaluating Spatial Relations in T2I Models (2024); OOSIS (2025); LayeringDiff (Kang et al., 2025); Lasagna (Yang et al., 2025); WorldSmith (Dang et al., UIST 2023); ControlNet Depth (Zhang & Agrawala, 2023)",Literature,"Depth terms like ""in the background"" and ""in front of"" are among the most ambiguous spatial relations for text-to-image models. Evaluating Spatial Relations in T2I Models (2024) found that ""In Front Of and Behind achieved 35.8% and 27.5% accuracy respectively for T2I models."" OOSIS (2025) further established that ""a sofa can be to the left of a person... but it could be either behind or in front of the person in the corresponding 3D scene. Standard instance segmentation cannot determine this depth relationship."" Professional creative tools address this through layered representations, as LayeringDiff notes, ""Layers have become indispensable tools for professional artists, allowing them to build a hierarchical structure that enables independent control over individual visual elements."" For technical implementation, ControlNet Depth uses grayscale depth maps where ""brighter areas (closer to white) indicate objects that are closer, while darker areas (closer to black) indicate objects that are farther away,"" enabling the model to ""correctly interpret spatial relationships."" ",Vitor,
Spatial,Position/Arrangement,"Design Guidelines (Liu), CreativeConnect","A ball to the left of a cube, behind a cylinder",left of... behind...,Absolute and relative positioning of elements,reference + keyword selection,"
CreativeConnect",Literature,Canvas3D explicitly uses 3D proxy for viewpoint control; 3DALL-E integrates viewport renders as conditioning,Alex,
Subject,Action/Pose,CreativeConnect,A dancer mid-leap with one arm reaching up,mid-leap... one arm reaching up,Exact pose,Shot type selector with crop preview overlay,"
CreativeConnect",Literature,Shot terminology from film varies in interpretation; explicit framing guides reduce ambiguity,Alex,
Style,Typography,"TextDiffuser, AnyText, AnyText2","A neon yellow sign saying ""OPEN"", An elegant calligraphy wedding invitation","""Open"", elegant calligraphy, neon yellow","Font family, weight, letter spacing, text color, Script type (copperplate, brush, blackletter), flourish level, slant, stroke variation","Font picker, Lettering style gallery with exemplars/parameter sliders (flourish, slant)/live preview/text input field, color picker, etc.","TextDiffuser, AnyText, AnyText2",Literature,,Alex,
Style,Art Style,"Design Guidelines (Liu), PromptMagician, Opal, DreamSheets, Promptify","A painting in impressionist style, watercolor, photorealistic...",specific style,"Style details (art style era, brush style, softness, texture, etcc.",Exemplar selection,"PromptMagician, Opal, DreamSheets, Promptify",Literature,,Alex,
Lighting,Light Position,,A portrait with dramatic side lighting,side lighting,"Which side (left/right), angle of incidence, elevation, distance from subject",HDR env map file or point light parameters (not UI),DiLightNet SIGGRAPH 2024,Literature,,Alex,
Lighting,Multi-light,,A studio portrait with professional lighting,studio lighting,"Number of lights, key/fill/rim configuration, intensity ratios between lights",HDR env map file or point light parameters (not UI),DiLightNet SIGGRAPH 2024,Literature,,Alex,
Lighting,Light Quiality,,Soft diffused lighting on a product,soft,"Shadow edge hardness, falloff gradient, specular highlight size",HDR env map file or point light parameters (not UI),DiLightNet SIGGRAPH 2024,Literature,,Alex,
Atmosphere,Weather,,A rainy day in Tokyo,rainy,"Rain intensity, visibility, puddle reflection, umbrella presence",Weather condition selector + intensity slider + secondary effects toggles,ContextCam CHI 2024,Literature,ContextCam incorporates weather as conditioning signal; intensity and secondary effects need specification,,
Atmosphere,Emotional Tone,,A melancholic autumn scene,melancholic,"Color temperature, saturation, contrast, subject expressions, compositional weight",Mood board selector + contributing factors breakdown,CreativeConnect CHI 2024; ContextCam CHI 2024,Literature,CreativeConnect's keyword extraction includes mood; ContextCam's emotion conditioning shows mood is multi-factorial,,
Texture,Surface Quality,,A rough stone wall,rough,"Bump height, pattern scale, regularity, wear level","Texture properties panel (roughness, scale, wear) + reference gallery","DesignWeaver CHI 2025, DesignWeaver: Dimensional Scaffolding for Text-to-Image Product
Design",Literature,DesignWeaver extracts domain vocabulary like surface treatments; texture terms need decomposition,,
Texture,Material Type,,A wooden table,wooden,"Wood type (oak, pine), grain pattern, finish (raw, lacquered), age",Material selector with sub-type options + finish/age modifiers,DesignWeaver CHI 2025,Literature,DesignWeaver's vocabulary extraction shows material names have many implicit properties,,
Quantity,Discrete Count,,A few birds flying,a few,"Exact count (3? 5? 7?), individual visibility, arrangement",Number input + arrangement preview + visibility toggle,Liu & Chilton CHI 2022,Literature,Liu & Chilton noted quantity terms are highly ambiguous; 'few' vs 'several' vs 'many' needs specification,,
Temporal,Age/Wear,,A young woman,young,"Exact age range, developmental stage, cultural context",Age range selector with visual reference thumbnails,GenAssist UIST 2023,Literature,GenAssist's accessibility verification showed age terms need specification for accurate generation,,
Temporal,Time Period,,A Victorian-era drawing room,Victorian-era,"Which decade (1840s vs 1890s), regional variation, class context",Timeline slider with era details panel + sub-period options,Opal UIST 2022,Literature,Opal's style pipeline extracts era-specific attributes; historical periods have internal variation,,
Temporal,Time of Day,,An evening scene,evening,"Exact hour, sun position, artificial light mix, activity level",Clock/sun position dial with lighting preview,ContextCam CHI 2024,Literature,ContextCam's time-aware conditioning shows time of day affects multiple visual factors,,
Camera,Lens Properties,,A portrait with blurry background,blurry background,"Blur amount, bokeh shape, focus plane distance, transition sharpness",DoF visualizer with focus plane + aperture selector,Liu & Chilton CHI 2022,Literature,Liu & Chilton's guidelines note technical photography terms are domain-specific; explicit controls help novices,,
Camera,Camera Angle,,A bird's eye view of the city,bird's eye view,"Exact angle (45° vs 90°), altitude, lens correction",Elevation angle dial with preview + tilt correction toggle,Canvas3D 2025,Literature,Canvas3D's 3D proxy enables precise camera angle specification,,
Subject,Object,,A chair,chair,"Chair type (office, dining, lounge), era, material, condition",Object browser with type hierarchy + attribute customization,PromptMagician TVCG 2024,Literature,PromptMagician's keyword analysis showed common objects have many implicit variants,,
Abstract,Conceptual,,The concept of freedom,freedom,"Visual metaphor selection, symbolic elements, compositional approach",Concept-to-visual mapper with metaphor suggestions + element picker,DreamSheets CHI 2024; Promptify UIST 2023,Literature,DreamSheets' LLM-powered expansion can suggest concrete visualizations of abstract concepts,,
Abstract,Conceptual,,A moment of realization,moment of realization,"Facial expression, body language, lighting change, compositional focus",Narrative beat selector with visual factor breakdown,TaleBrush CHI 2022; StoryEnsemble UIST 2025,Literature,TaleBrush's narrative control through sketching shows story moments decompose into visual elements,,
Style,Consistency,,A cohesive fantasy illustration,cohesive,"Color harmony, stylistic consistency, detail level matching",Style lock panel that applies master style to all elements,PromptNavi 2025; StoryEnsemble UIST 2025,Literature,PromptNavi's style retention and StoryEnsemble's consistency propagation address multi-element coherence,,
